Month,CCI,BCI,CLI,CCI Monthly,BCI Monthly,CLI Monthly,CCI Yearly,BCI Yearly,CLI Yearly
1988-09,101.1871,100.5311,100.6131,-0.0001492062426,-0.001880451348,0.00004671578119,0.004726390636,-0.009409179591,-0.002787075187
1988-10,101.0479,100.4971,100.6123,-0.001375669428,-0.0003382037996,-0.000007951250881,0.006759025401,-0.01035854612,-0.0009671362341
1988-11,100.9471,100.5166,100.6064,-0.000997546708,0.0001940354498,-0.00005864094152,0.008468582229,-0.009471046348,0.0008336433797
1988-12,100.9735,100.4961,100.5875,0.0002615231146,-0.0002039464128,-0.000187860812,0.008018344759,-0.008478087995,0.001949362398
1989-01,101.1131,100.3531,100.5331,0.001382540964,-0.001422940791,-0.0005408226668,0.006809772457,-0.006647879182,0.002078253988
1989-02,101.093,100.1255,100.4249,-0.0001987872986,-0.002267991721,-0.001076262445,0.004241749945,-0.00567346728,0.00112249445
1989-03,100.9497,99.82604,100.2701,-0.001417506652,-0.002990846488,-0.001541450377,0.001221900988,-0.006772284833,-0.0007294956415
1989-04,100.7536,99.53757,100.0958,-0.001942551588,-0.002889726969,-0.001738304839,-0.001149999603,-0.01010239336,-0.003059669532
1989-05,100.6234,99.13586,99.92856,-0.001292261517,-0.004035762577,-0.001670799374,-0.00334189111,-0.01587667469,-0.005471231102
1989-06,100.5915,98.73346,99.79897,-0.0003170236744,-0.0040590761,-0.001296826453,-0.004320584392,-0.02214085511,-0.007447502581
1989-07,100.6401,98.43875,99.71931,0.0004831422138,-0.002984905016,-0.0007982046308,-0.00449874326,-0.02480082661,-0.008652874002
1989-08,100.7212,98.31514,99.68787,0.0008058418066,-0.001255704689,-0.0003152849734,-0.004752861104,-0.02388153355,-0.009149633629
1989-09,100.8729,98.36562,99.68984,0.001506137735,0.0005134509293,0.00001976168214,-0.003105138896,-0.02154039894,-0.00917633986
1989-10,100.8558,98.47905,99.70377,-0.0001695202577,0.001153146801,0.0001397333971,-0.001901078597,-0.02008067894,-0.009030009253
1989-11,100.7319,98.57916,99.72718,-0.001228486612,0.00101656139,0.0002347955348,-0.002131809631,-0.01927482625,-0.008739205458
1989-12,100.6579,98.68834,99.75721,-0.0007346232921,0.001107536319,0.0003011215197,-0.003125572551,-0.01798835975,-0.008254405368
1990-01,100.6552,98.82754,99.79133,-0.00002682352801,0.001410500977,0.0003420304156,-0.00452859224,-0.01520192201,-0.007378365931
1990-02,100.6372,99.04007,99.82182,-0.0001788283169,0.002150513915,0.0003055375652,-0.004508719694,-0.01084069493,-0.00600528355
1990-03,100.7061,99.20805,99.82128,0.0006846374899,0.001696081192,-0.000005409638895,-0.002413082951,-0.006190669288,-0.004476110027
1990-04,100.7584,99.2609,99.74619,0.0005193329898,0.0005327188671,-0.0007522444112,0.00004764097759,-0.002779553489,-0.003492753942
1990-05,100.6288,99.18462,99.5751,-0.001286245117,-0.0007684798345,-0.001715253485,0.00005366544959,0.000491850275,-0.003537126923
1990-06,100.3437,98.99107,99.28827,-0.002833184933,-0.001951411418,-0.002880539412,-0.002463428819,0.002609145876,-0.005117287283
1990-07,99.86221,98.68353,98.89134,-0.004798407872,-0.003106744881,-0.003997753209,-0.007729423957,0.002486622392,-0.008303005707
1990-08,99.08961,98.38373,98.41562,-0.007736660344,-0.003037994283,-0.004810532449,-0.01619907229,0.0006976545016,-0.01276233508
1990-09,98.34737,98.06325,97.93409,-0.007490593615,-0.003257449174,-0.004892820875,-0.02503675417,-0.003073939858,-0.01761212577
1990-10,97.75414,97.7326,97.51604,-0.006031986417,-0.003371803402,-0.004268687236,-0.0307534123,-0.007579784736,-0.02194229967
1990-11,97.54348,97.4071,97.22717,-0.002154998244,-0.003330516123,-0.002962281897,-0.0316525351,-0.01188953122,-0.02506849186
1990-12,97.60752,97.14954,97.11291,0.0006565277351,-0.002644160436,-0.001175185907,-0.03030442717,-0.01559252086,-0.02650735721
1991-01,97.95531,96.97461,97.1729,0.003563147594,-0.001800626128,0.0006177345525,-0.02682315469,-0.018749126,-0.02623905303
1991-02,98.58981,96.99567,97.39018,0.006477443642,0.0002171702469,0.002236014362,-0.02034426633,-0.02064215019,-0.0243598043
1991-03,99.31335,97.24522,97.71266,0.007338892326,0.00257279526,0.003311216798,-0.01382984745,-0.01978498721,-0.02112395273
1991-04,99.51771,97.69807,98.0797,0.002057729399,0.004656784159,0.003756319805,-0.01231351431,-0.01574466885,-0.01670730481
1991-05,99.50068,98.30987,98.44823,-0.0001711253203,0.006262150317,0.003757454397,-0.01121070707,-0.008819411719,-0.01131678502
1991-06,99.56593,99.02964,98.78514,0.0006557744128,0.007321441886,0.003422204747,-0.007751059608,0.0003896311051,-0.005067365964
1991-07,99.62727,99.56459,99.04314,0.0006160741933,0.005401918052,0.002611728849,-0.002352641705,0.008928136235,0.001535018132
1991-08,99.59158,99.94558,99.18328,-0.0003582352502,0.00382656123,0.001414938985,0.005065818707,0.01587508422,0.007800184564
1991-09,99.39175,100.0586,99.21216,-0.002006494927,0.00113081539,0.0002911781099,0.0106192977,0.02034758179,0.01305030761
1991-10,98.91624,99.77343,99.16246,-0.004784199896,-0.002850029882,-0.0005009466582,0.01188798756,0.02088177333,0.01688358141
1991-11,98.32688,99.27385,99.08865,-0.005958172288,-0.005007144688,-0.0007443340958,0.008031290251,0.01916441409,0.01914567708
1991-12,97.98013,98.94389,99.05444,-0.003526502621,-0.003323735304,-0.0003452464031,0.00381743128,0.01846997937,0.01999250151
1992-01,97.93147,99.06972,99.10451,-0.0004966313068,0.001271730877,0.000505479613,-0.0002433762907,0.02160472726,0.019878073
1992-02,98.1761,99.57135,99.23038,0.002497971285,0.005063403833,0.00127007338,-0.004196275457,0.02655458744,0.01889512885
1992-03,98.61502,99.98761,99.40015,0.004470741861,0.004180519798,0.001710867176,-0.00703158236,0.02820076915,0.01726992183
1992-04,98.96371,100.171,99.55405,0.003535871108,0.001834127248,0.001548287402,-0.005566848353,0.02531196369,0.01503216262
1992-05,99.16222,100.2926,99.65157,0.002005886804,0.00121392419,0.0009795683852,-0.003401584793,0.02016816826,0.012223074
1992-06,99.16808,100.2152,99.68075,0.00005909508682,-0.0007717418832,0.0002928202737,-0.003995844763,0.01197176926,0.009066242149
1992-07,98.99352,100.0589,99.66977,-0.00176024382,-0.001559643647,-0.0001101516592,-0.006361210139,0.004964716874,0.006326838992
1992-08,98.84123,99.81294,99.65958,-0.001538383522,-0.002458152148,-0.0001022376193,-0.007534271472,-0.00132712222,0.004802220697
